Unnamed: 0,session__sessionId,Experiment,Answer,Type,lvlAfter,lvlBefore,Course
199,1199,curated,False,curated,1.0,0.0,CS
200,611,curated,True,curated,1.0,1.0,CS
201,611,curated,True,curated,1.0,1.0,CS
202,611,curated,False,curated,1.0,1.0,CS
203,611,curated,True,curated,1.0,1.0,CS
204,611,curated,False,curated,1.0,1.0,CS
205,172,curated,True,curated,1.0,0.0,CS
206,172,curated,False,curated,1.0,0.0,CS
207,172,curated,False,curated,1.0,0.0,CS
208,172,curated,False,curated,1.0,0.0,CS
209,172,curated,False,curated,1.0,0.0,CS
210,843,curated,True,curated,0.0,0.0,CS
211,843,curated,True,curated,0.0,0.0,CS
212,843,curated,False,curated,0.0,0.0,CS
213,843,curated,False,curated,0.0,0.0,CS
214,843,curated,False,curated,0.0,0.0,CS
215,1065,curated,True,curated,0.0,0.0,CS
216,1065,curated,True,curated,0.0,0.0,CS
217,1065,curated,False,curated,0.0,0.0,CS
218,1065,curated,False,curated,0.0,0.0,CS
219,1065,curated,False,curated,0.0,0.0,CS
220,510,curated,True,curated,2.0,1.0,CS
221,510,curated,True,curated,2.0,1.0,CS
222,510,curated,True,curated,2.0,1.0,CS
223,510,curated,True,curated,2.0,1.0,CS
224,510,curated,False,curated,2.0,1.0,CS
225,793,curated,True,curated,0.0,0.0,CS
226,793,curated,False,curated,0.0,0.0,CS
227,793,curated,False,curated,0.0,0.0,CS
228,793,curated,False,curated,0.0,0.0,CS
229,793,curated,False,curated,0.0,0.0,CS
230,1200,curated,True,curated,4.0,4.0,CS
231,1200,curated,False,curated,4.0,4.0,CS
232,1200,curated,True,curated,4.0,4.0,CS
233,1200,curated,True,curated,4.0,4.0,CS
234,1200,curated,True,curated,4.0,4.0,CS
235,1035,curated,True,curated,0.0,0.0,CS
236,1035,curated,True,curated,0.0,0.0,CS
237,1035,curated,False,curated,0.0,0.0,CS
238,1035,curated,False,curated,0.0,0.0,CS
239,1035,curated,False,curated,0.0,0.0,CS
240,937,curated,True,curated,1.0,1.0,CS
241,937,curated,True,curated,1.0,1.0,CS
242,937,curated,False,curated,1.0,1.0,CS
243,937,curated,True,curated,1.0,1.0,CS
244,937,curated,False,curated,1.0,1.0,CS
245,501,curated,True,curated,1.0,0.0,CS
246,501,curated,True,curated,1.0,0.0,CS
247,501,curated,True,curated,1.0,0.0,CS
248,501,curated,True,curated,1.0,0.0,CS
249,501,curated,False,curated,1.0,0.0,CS
250,1161,curated,True,curated,0.0,0.0,CS
251,1161,curated,True,curated,0.0,0.0,CS
252,1161,curated,False,curated,0.0,0.0,CS
253,1161,curated,True,curated,0.0,0.0,CS
254,1161,curated,False,curated,0.0,0.0,CS
255,147,curated,True,curated,0.0,0.0,CS
256,147,curated,True,curated,0.0,0.0,CS
257,147,curated,True,curated,0.0,0.0,CS
258,147,curated,True,curated,0.0,0.0,CS
259,147,curated,False,curated,0.0,0.0,CS
260,813,curated,True,curated,1.0,0.0,CS
261,813,curated,True,curated,1.0,0.0,CS
262,813,curated,True,curated,1.0,0.0,CS
263,813,curated,True,curated,1.0,0.0,CS
264,813,curated,False,curated,1.0,0.0,CS
265,680,curated,True,curated,1.0,1.0,CS
266,680,curated,True,curated,1.0,1.0,CS
267,680,curated,False,curated,1.0,1.0,CS
268,680,curated,True,curated,1.0,1.0,CS
269,680,curated,False,curated,1.0,1.0,CS
270,75,curated,True,curated,2.0,2.0,CS
271,75,curated,True,curated,2.0,2.0,CS
272,75,curated,False,curated,2.0,2.0,CS
273,75,curated,False,curated,2.0,2.0,CS
274,75,curated,False,curated,2.0,2.0,CS
275,418,curated,True,curated,0.0,0.0,CS
276,418,curated,True,curated,0.0,0.0,CS
277,418,curated,False,curated,0.0,0.0,CS
278,418,curated,False,curated,0.0,0.0,CS
279,418,curated,False,curated,0.0,0.0,CS
280,294,curated,True,curated,1.0,1.0,CS
281,294,curated,True,curated,1.0,1.0,CS
282,294,curated,False,curated,1.0,1.0,CS
283,294,curated,True,curated,1.0,1.0,CS
284,294,curated,False,curated,1.0,1.0,CS
285,190,curated,True,curated,1.0,0.0,CS
286,190,curated,True,curated,1.0,0.0,CS
287,190,curated,False,curated,1.0,0.0,CS
288,190,curated,False,curated,1.0,0.0,CS
289,190,curated,False,curated,1.0,0.0,CS
290,344,curated,False,curated,1.0,1.0,CS
291,344,curated,False,curated,1.0,1.0,CS
292,344,curated,False,curated,1.0,1.0,CS
293,344,curated,False,curated,1.0,1.0,CS
294,344,curated,False,curated,1.0,1.0,CS
295,579,curated,True,curated,0.0,0.0,CS
296,579,curated,True,curated,0.0,0.0,CS
297,579,curated,True,curated,0.0,0.0,CS
298,579,curated,False,curated,0.0,0.0,CS
299,579,curated,False,curated,0.0,0.0,CS
300,337,curated,True,curated,0.0,0.0,CS
301,337,curated,True,curated,0.0,0.0,CS
302,337,curated,False,curated,0.0,0.0,CS
303,337,curated,False,curated,0.0,0.0,CS
304,337,curated,False,curated,0.0,0.0,CS
305,203,curated,True,curated,2.0,0.0,CS
306,203,curated,True,curated,2.0,0.0,CS
307,203,curated,True,curated,2.0,0.0,CS
308,203,curated,True,curated,2.0,0.0,CS
309,203,curated,False,curated,2.0,0.0,CS
310,1110,curated,True,curated,1.0,0.0,CS
311,1110,curated,True,curated,1.0,0.0,CS
312,1110,curated,True,curated,1.0,0.0,CS
313,1110,curated,True,curated,1.0,0.0,CS
314,1110,curated,False,curated,1.0,0.0,CS
315,618,curated,False,curated,0.0,0.0,CS
316,618,curated,False,curated,0.0,0.0,CS
317,618,curated,False,curated,0.0,0.0,CS
318,618,curated,False,curated,0.0,0.0,CS
319,618,curated,False,curated,0.0,0.0,CS
320,511,curated,True,curated,0.0,0.0,CS
321,511,curated,False,curated,0.0,0.0,CS
322,511,curated,False,curated,0.0,0.0,CS
323,511,curated,False,curated,0.0,0.0,CS
324,511,curated,False,curated,0.0,0.0,CS
325,1179,curated,False,curated,1.0,0.0,CS
326,1179,curated,False,curated,1.0,0.0,CS
327,1179,curated,False,curated,1.0,0.0,CS
328,1179,curated,False,curated,1.0,0.0,CS
329,1179,curated,False,curated,1.0,0.0,CS
330,643,curated,True,curated,1.0,1.0,CS
331,643,curated,False,curated,1.0,1.0,CS
332,643,curated,False,curated,1.0,1.0,CS
333,643,curated,False,curated,1.0,1.0,CS
334,643,curated,False,curated,1.0,1.0,CS
335,333,curated,True,curated,1.0,1.0,CS
336,333,curated,False,curated,1.0,1.0,CS
337,333,curated,True,curated,1.0,1.0,CS
338,333,curated,True,curated,1.0,1.0,CS
339,333,curated,False,curated,1.0,1.0,CS
340,1149,curated,True,curated,4.0,4.0,CS
341,1149,curated,True,curated,4.0,4.0,CS
342,1149,curated,True,curated,4.0,4.0,CS
343,1149,curated,True,curated,4.0,4.0,CS
344,1149,curated,False,curated,4.0,4.0,CS
345,59,curated,False,curated,1.0,0.0,CS
346,59,curated,True,curated,1.0,0.0,CS
347,59,curated,False,curated,1.0,0.0,CS
348,59,curated,False,curated,1.0,0.0,CS
349,59,curated,False,curated,1.0,0.0,CS
350,239,curated,True,curated,1.0,0.0,CS
351,239,curated,True,curated,1.0,0.0,CS
352,239,curated,True,curated,1.0,0.0,CS
353,239,curated,True,curated,1.0,0.0,CS
354,239,curated,False,curated,1.0,0.0,CS
355,694,curated,True,curated,2.0,2.0,CS
356,694,curated,True,curated,2.0,2.0,CS
357,694,curated,False,curated,2.0,2.0,CS
358,694,curated,True,curated,2.0,2.0,CS
359,694,curated,True,curated,2.0,2.0,CS
360,499,curated,True,curated,1.0,0.0,CS
361,499,curated,True,curated,1.0,0.0,CS
362,499,curated,False,curated,1.0,0.0,CS
363,499,curated,False,curated,1.0,0.0,CS
364,499,curated,False,curated,1.0,0.0,CS
365,364,curated,True,curated,4.0,4.0,CS
366,364,curated,True,curated,4.0,4.0,CS
367,364,curated,True,curated,4.0,4.0,CS
368,364,curated,True,curated,4.0,4.0,CS
369,364,curated,False,curated,4.0,4.0,CS
370,938,curated,True,curated,3.0,2.0,CS
371,938,curated,False,curated,3.0,2.0,CS
372,938,curated,False,curated,3.0,2.0,CS
373,938,curated,False,curated,3.0,2.0,CS
374,938,curated,False,curated,3.0,2.0,CS
375,963,curated,True,curated,0.0,0.0,CS
376,963,curated,True,curated,0.0,0.0,CS
377,963,curated,False,curated,0.0,0.0,CS
378,963,curated,False,curated,0.0,0.0,CS
379,963,curated,False,curated,0.0,0.0,CS
380,314,curated,True,curated,2.0,0.0,CS
381,314,curated,True,curated,2.0,0.0,CS
382,314,curated,False,curated,2.0,0.0,CS
383,314,curated,True,curated,2.0,0.0,CS
384,314,curated,False,curated,2.0,0.0,CS
385,697,curated,False,curated,0.0,0.0,CS
386,697,curated,False,curated,0.0,0.0,CS
387,697,curated,False,curated,0.0,0.0,CS
388,697,curated,False,curated,0.0,0.0,CS
389,697,curated,False,curated,0.0,0.0,CS
390,408,curated,True,curated,0.0,0.0,CS
391,408,curated,True,curated,0.0,0.0,CS
392,408,curated,True,curated,0.0,0.0,CS
393,408,curated,False,curated,0.0,0.0,CS
394,408,curated,False,curated,0.0,0.0,CS
395,146,curated,True,curated,3.0,2.0,CS
396,146,curated,False,curated,3.0,2.0,CS
397,146,curated,False,curated,3.0,2.0,CS
398,146,curated,False,curated,3.0,2.0,CS
399,146,curated,False,curated,3.0,2.0,CS
400,493,curated,True,curated,2.0,2.0,CS
401,493,curated,False,curated,2.0,2.0,CS
402,493,curated,False,curated,2.0,2.0,CS
